ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10430,0,0,0,0,0,0,15,8,0,0
10431,24,24,24,24,24,24,24,24,24,24
10432,12,12,12,12,12,12,12,12,12,12
10433,0,0,0,0,0,0,0,0,0,0
10434,0,0,0,0,0,0,0,0,0,0
10435,0,0,0,0,0,0,0,0,0,0
10436,0,0,0,0,0,0,0,0,0,0
10437,0,0,3,0,0,0,0,0,0,0
10438,0,0,0,0,0,0,0,0,0,0
10439,0,0,0,0,0,0,0,0,0,0
10440,0,0,0,0,0,0,0,0,0,0
10441,0,0,0,0,0,0,0,0,0,0
10442,0,0,0,0,0,0,0,0,0,0
10443,23,23,23,23,23,23,23,23,23,23
10444,0,0,0,0,0,0,0,0,0,0
10445,0,0,0,0,0,40,0,0,0,0
10446,0,0,0,0,0,0,0,0,0,0
10447,0,0,0,3,0,0,0,0,0,0
10448,0,0,0,0,0,0,0,0,0,0
10449,6,6,6,6,6,6,6,6,6,6
10450,0,0,0,0,0,22,10,0,0,0
10451,0,0,0,0,0,15,0,0,0,0
10452,0,0,0,0,0,0,0,0,0,0
10453,14,13,16,8,10,19,13,9,4,30
10454,0,17,0,0,0,0,0,0,0,0
10455,0,0,0,0,0,32,0,0,0,0
10456,0,0,0,0,0,0,0,0,0,0
10457,0,0,0,0,0,0,0,0,16,0
10458,0,0,0,0,0,0,0,0,0,0
10459,0,0,0,0,0,0,0,0,0,0
10460,0,0,0,0,0,0,22,0,0,0
10461,31,10,18,10,10,10,10,10,15,10
10462,0,7,0,0,0,0,0,15,0,0
10463,0,0,5,21,0,0,8,0,17,0
10464,0,0,0,0,0,0,0,0,0,0
10465,0,0,0,0,0,0,0,0,0,0
10466,0,0,0,0,0,0,0,0,0,0
10467,0,0,0,0,0,0,0,0,0,0
10468,0,0,0,0,0,0,0,0,0,0
10469,0,0,0,0,0,0,0,0,0,0
10470,0,0,0,0,0,0,0,0,0,0
10471,0,21,0,0,0,0,22,0,0,0
10472,0,0,0,0,0,0,0,0,0,0
10473,0,0,0,0,0,0,0,0,0,0
10474,15,15,15,15,15,15,15,15,15,15
10475,14,0,0,0,16,24,16,25,21,23
10476,18,20,16,13,35,14,13,11,12,13
10477,0,0,0,0,0,0,0,0,0,0
10478,8,0,0,4,0,25,20,0,22,9
10479,23,23,23,23,23,23,23,23,23,23
10480,0,0,0,0,0,0,0,0,0,0
10481,0,0,0,0,13,0,0,0,0,0
10482,0,11,0,0,0,0,7,0,0,0
10483,0,0,0,0,0,0,0,0,0,0
10484,0,0,0,0,0,0,0,0,0,0
10485,0,0,0,0,0,0,0,0,0,0
10486,17,17,17,17,17,17,17,17,17,17
10487,0,0,0,0,0,0,0,0,0,0
10489,0,0,0,0,0,0,0,0,0,0
10490,17,17,17,17,17,17,17,17,17,17
10491,8,8,8,8,8,8,8,8,8,8
10492,25,25,25,25,25,25,25,25,25,25
10493,20,20,20,20,20,20,20,20,20,20
10494,26,26,26,26,26,26,26,26,26,26
10495,0,0,0,0,0,0,0,0,0,0
10496,0,3,0,0,0,0,7,0,0,0
10497,0,0,0,0,0,0,0,0,0,0
10498,2,2,2,2,2,2,2,2,2,2
10499,0,0,0,0,0,0,0,0,0,0
10500,0,0,0,0,0,0,0,0,0,0
10501,0,0,0,0,0,0,0,0,0,0
10502,0,0,0,0,0,0,0,0,0,0
10503,0,0,0,0,0,0,0,0,0,0
10504,0,0,0,14,10,0,0,0,0,13
10505,0,0,0,0,0,0,0,0,0,0
10506,14,14,14,14,14,14,14,14,14,14
10507,11,11,11,11,11,11,11,11,11,11
10508,24,15,10,20,26,0,31,15,24,14
10509,0,18,0,0,0,0,0,0,0,0
10510,0,26,0,0,0,0,0,25,6,0
10511,30,30,30,30,30,30,30,30,30,30
10512,0,0,0,0,0,0,0,0,0,0
10513,2,2,2,2,2,2,2,2,2,2
10514,0,0,0,0,0,0,0,0,0,0
10516,0,0,0,0,0,0,0,0,0,0
10517,10,10,10,10,10,10,10,10,10,10
10518,0,0,0,0,0,0,0,0,0,0
10519,0,0,0,0,0,0,0,0,0,0
10520,0,0,0,0,0,0,0,0,0,0
10521,16,16,16,16,16,16,16,16,16,16
10522,0,0,0,0,0,0,0,0,0,0
10523,0,0,0,13,0,0,0,22,20,0
10524,23,19,32,0,0,12,0,34,0,8
10525,24,9,13,8,14,5,13,30,0,0
10526,19,19,19,19,19,19,19,19,19,19
10527,0,0,0,0,0,0,0,0,0,0
10528,0,0,0,0,0,0,0,0,0,0
10529,0,0,0,0,0,0,0,0,0,0
10530,0,0,0,0,0,0,0,0,0,0
10531,0,0,0,0,0,0,0,0,0,0
10532,19,19,19,19,19,19,19,19,19,19
10533,0,0,16,0,0,0,24,0,0,21
10534,13,28,0,0,34,15,0,0,0,0
10535,0,10,0,14,0,9,0,0,4,0
10536,0,0,0,0,0,0,0,0,0,0
10537,0,0,0,0,0,14,0,0,0,22
10538,0,0,0,0,0,0,0,0,2,0
10539,0,0,0,0,0,0,0,0,0,0
10540,0,0,0,0,0,0,0,0,0,0
10541,0,0,0,0,0,0,0,0,0,0
10542,0,0,0,0,0,0,0,0,0,0
