ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10312,0,0,0,0,0,0,0,0,0,0
10313,9,9,9,9,9,9,9,9,9,9
10314,0,0,0,0,0,0,0,0,0,0
10315,0,0,0,0,0,0,0,0,0,0
10316,0,0,0,0,0,0,0,0,0,0
10317,0,0,0,0,0,0,0,0,0,0
10318,0,0,0,0,0,0,0,0,0,0
10319,26,26,26,26,26,26,26,26,26,26
10320,0,0,0,0,0,0,0,0,0,0
10321,9,9,9,9,9,9,9,9,9,9
10322,12,12,12,12,12,12,12,12,12,12
10323,0,0,0,0,0,0,0,0,0,0
10324,0,0,0,0,0,0,0,0,0,0
10325,14,0,0,0,0,0,0,0,0,0
10326,0,0,0,0,0,0,0,0,0,0
10327,17,22,0,0,0,9,0,20,0,0
10328,0,0,0,0,0,0,0,0,0,0
10329,0,0,0,14,0,4,0,0,0,0
10330,5,5,5,5,5,5,5,5,5,5
10331,0,0,0,0,0,0,0,0,11,0
10332,3,3,3,3,3,3,3,3,3,3
10333,0,0,0,0,0,0,0,0,0,0
10334,31,28,0,19,28,0,25,17,12,14
10335,0,0,0,0,0,0,0,0,0,0
10336,0,0,0,0,0,0,0,0,0,0
10337,0,0,0,0,0,0,0,0,0,0
10338,0,0,0,0,5,0,0,0,0,0
10339,32,32,32,32,32,32,32,32,32,32
10340,0,19,13,0,0,15,29,0,0,0
10341,0,19,0,0,41,7,0,0,0,0
10342,0,0,0,0,0,0,0,0,0,0
10343,0,0,0,0,0,0,0,0,0,0
10344,0,0,0,0,0,0,0,0,0,0
10345,0,0,0,0,0,29,0,0,0,0
10346,0,0,0,0,0,0,0,0,0,0
10347,0,0,0,0,0,0,0,0,17,0
10348,0,26,0,0,0,0,0,0,0,0
10349,0,0,0,0,0,0,0,0,0,0
10350,3,3,3,3,3,3,3,3,3,3
10351,24,24,24,24,24,24,24,24,24,24
10352,17,17,17,17,17,17,17,17,17,17
10353,0,0,0,0,0,0,0,0,0,0
10354,10,0,0,10,28,10,0,0,0,0
10355,0,0,0,0,0,0,0,0,0,0
10356,11,37,0,14,3,22,0,15,0,18
10357,0,0,0,0,0,0,0,0,0,0
10358,0,0,0,0,0,0,0,0,0,0
10359,0,0,0,0,0,0,0,0,19,0
10360,0,0,0,0,0,0,14,0,0,0
10361,0,0,0,0,19,0,0,0,0,0
10362,0,0,0,0,0,0,0,24,0,0
10363,23,23,23,23,23,23,23,23,23,23
10364,8,0,0,0,0,0,0,0,0,0
10365,0,0,0,0,0,0,0,13,0,0
10366,0,0,0,0,32,0,0,0,0,0
10367,0,0,0,0,0,0,0,0,0,0
10368,0,0,0,0,0,0,0,0,0,0
10369,22,22,22,22,22,22,22,22,22,22
10370,0,0,0,0,0,0,0,0,0,0
10371,0,0,0,0,0,0,0,0,0,0
10372,0,0,0,18,0,0,0,0,0,0
10373,26,26,26,26,26,26,26,26,26,26
10374,0,0,0,4,0,0,0,0,0,0
10375,24,24,24,24,24,24,24,24,24,24
